pr_id,pr_title,pr_author,state,created_at,merged_at,body
65616,CLN: remove unused functions,jbrockmendel,closed,2026-05-12T14:57:42Z,2026-05-12T16:12:31Z,All human!
65614,TYP: enable mypy checking for pandas._testing,jbrockmendel,closed,2026-05-12T01:05:00Z,2026-05-12T16:16:25Z,"## Summary

- Removes `pandas._testing.*` from the mypy `[[tool.mypy.overrides]]` exclude list and adds the type annotations needed to type-check it cleanly.
- Most changes are filling in missing parameter / return annotations on public helpers (`assert_*_equal`, `box_expected`, `to_array`, `shares_memory`, ...) and inner functions.
- A handful of `cast()` calls where mypy couldn't narrow through `isinstance(left.dtype, CategoricalDtype)` / `IntervalDtype` to the corresponding `_values` / `array` type, and for `MultiIndex.dtypes` access.
- Adds a `-> dict[str, DataFrame]` return type to `DataFrame._to_dict_of_blocks` so the typed call from `assert_frame_equal(by_blocks=True)` no longer trips `no-untyped-call`.

## Test plan

- [x] `mypy pandas/` → success on 1458 source files
- [x] `pyright pandas/_testing/ pandas/core/frame.py` → 0 errors
- [x] `pre-commit run` on the changed files → all hooks pass
- [x] `pytest pandas/tests/util/` → 981 passed, 2 skipped, 2 xfailed

🤖 Generated with [Claude Code](https://claude.com/claude-code)"
65613,TYP: enable mypy on pandas.core._numba.executor,jbrockmendel,closed,2026-05-12T00:52:32Z,2026-05-12T19:20:50Z,"## Summary
- Removed the `pandas.core._numba.executor` entry from the mypy override list in `pyproject.toml`
- Added type annotations to the previously-unannotated functions and inner JIT-decorated wrappers (`generate_apply_looper`, `nb_looper`, `make_looper`, both `column_looper` branches, `generate_shared_aggregator`, `looper_wrapper`)
- Updated the existing `# error: Incompatible redefinition` comment near the second `column_looper` to reflect the now-typed return

## Test plan
- [x] `mypy pandas/core/_numba/executor.py` clean (only pre-existing unrelated errors in `pandas/core/arrays/datetimes.py` remain)
- [x] `pyright pandas/core/_numba/executor.py` clean
- [x] pre-commit hooks pass

🤖 Generated with [Claude Code](https://claude.com/claude-code)"
65612,TYP: enable mypy for pandas.core.computation.common,jbrockmendel,closed,2026-05-12T00:51:47Z,2026-05-12T16:17:50Z,"## Summary
- Replace the wildcard `pandas.core.computation.*` mypy override with explicit per-file entries, so newly typed files automatically get checked.
- Type `ensure_decoded` and `result_type_many` in `pandas/core/computation/common.py` so it passes mypy with the strict project settings.
- Eight files in `pandas.core.computation` (align, engines, eval, expr, expressions, ops, pytables, scope) remain on the override list; they can be tackled in follow-ups, one per PR.

## Test plan
- [x] `mypy pandas/` clean across 1458 source files
- [x] `pre-commit run --files pandas/core/computation/common.py pyproject.toml`
- [x] Manual smoke test of `ensure_decoded` (str / bytes / np.bytes_) and `result_type_many` (typical and >NPY_MAXARGS args)

🤖 Generated with [Claude Code](https://claude.com/claude-code)"
65611,TYP: enable mypy checks for pandas.util,jbrockmendel,closed,2026-05-12T00:50:07Z,2026-05-12T19:21:38Z,"## Summary
- Annotates `pandas.util.__init__`, `pandas.util._doctools`, and `pandas.util._validators` so they satisfy mypy under the project's strict flags
- Drops the three matching entries from the `pyproject.toml` mypy override block
- Inserts `cast(""int"", max_fname_arg_count)` at the two `CompatValidator.__call__` call sites that hand `max_fname_arg_count` to `validate_args`/`validate_args_and_kwargs` (the field is `int | None` for deferred initialization, but is always non-`None` by the time those branches run)

## Test plan
- [x] `mypy pandas` passes (1458 source files)
- [x] `pyright` clean on the touched files
- [x] `pytest pandas/tests/util` passes (981 passed, 2 skipped, 2 xfailed)
- [x] `pre-commit` passes"
65610,TYP: enable pyright checking for pandas.compat.pickle_compat,jbrockmendel,closed,2026-05-12T00:39:54Z,2026-05-12T16:18:59Z,"## Summary

- Remove `pandas/compat/pickle_compat.py` from the pyright exclude list in `pyright_reportGeneralTypeIssues.json`.
- Add three narrow `# pyright: ignore[reportCallIssue]` suppressions on the `cls.__new__(cls, ...)` calls in `load_newobj` — these reconstruct Cython-defined `NDArrayBacked` subclasses (`DatetimeArray`/`TimedeltaArray`) and `BlockManager` during unpickle. Their `__new__` signatures come from Cython and aren't visible to pyright.

mypy already checked this file cleanly; this brings pyright to parity.

## Test plan

- [x] `pyright --project pyright_reportGeneralTypeIssues.json` — 0 errors
- [x] `mypy pandas/compat/pickle_compat.py` — clean
- [x] `pytest pandas/tests/io/test_pickle.py` — 753 passed

🤖 Generated with [Claude Code](https://claude.com/claude-code)"
65609,Backport PR #65591 on branch 3.0.x (BUG: fix np_datetime.c include order to avoid numpy nightly segfault),meeseeksmachine,closed,2026-05-12T00:28:19Z,2026-05-12T08:27:29Z,Backport PR #65591: BUG: fix np_datetime.c include order to avoid numpy nightly segfault
65605,DOC: explain Index.slice_locs missing-label behavior (GH-32680),jbrockmendel,closed,2026-05-11T20:22:11Z,2026-05-12T16:22:05Z,"- [x] closes #32680 (Docs portion. The follow-up feature request for a `method=` kwarg analogous to `get_loc` is out of scope.)
- [ ] [Tests added and passed](https://pandas.pydata.org/pandas-docs/dev/development/contributing_codebase.html#writing-tests) if fixing a bug or adding a new feature
- [x] All [code checks passed](https://pandas.pydata.org/pandas-docs/dev/development/contributing_codebase.html#pre-commit).
- [ ] Added [type annotations](https://pandas.pydata.org/pandas-docs/dev/development/contributing_codebase.html#type-hints) to new arguments/methods/functions.
- [ ] Added an entry in the latest `doc/source/whatsnew/vX.X.X.rst` file if fixing a bug or adding a new feature.

## Summary

GH-32680 asked for two doc clarifications on `Index.slice_locs`:

1. What happens when `start`/`end` aren't in the index?
2. The docstring should reference `get_slice_bound` (the method actually doing the work).

PR GH-58135 added a missing-label example but left the prose unaddressed, so the issue stayed open. This PR finishes it:

- Adds `Index.get_slice_bound` to **See Also**.
- Expands **Notes** to state that on a monotonic index a missing label maps to the searchsorted insertion point (no error), and that a missing label on a non-monotonic index raises `KeyError`.
- Adds a caption to the second example so the reader sees *why* it's there.

No runtime changes."
65600,ERR: point to workaround when appending HDF5 categoricals with different categories,jbrockmendel,closed,2026-05-11T20:03:20Z,2026-05-12T16:29:35Z,"## Summary
- Extends the `ValueError` raised by `to_hdf` / `HDFStore.append` when categories differ from the existing column, pointing users at `Categorical.set_categories` and `union_categoricals` as the workaround.

closes #14613

## Test plan
- [x] `pytest pandas/tests/io/pytables/test_categorical.py` (existing regex-based assertion still matches)

🤖 Generated with [Claude Code](https://claude.com/claude-code)"
65599,TST: read_stata far-future dates no longer overflow (GH-36096),jbrockmendel,closed,2026-05-11T20:02:53Z,2026-05-12T16:27:48Z,"## Summary

- Adds a regression test for GH-36096: a Stata `.dta` whose `%d`-format column holds values around 20.5M days (year ~58330) used to raise `OverflowError: date value out of range` from `dateutil.relativedelta`. Non-nano support replaced that path with `np.array(..., dtype=""M8[D]"") + td`, so the file now reads cleanly as `datetime64[s]`.
- Uses the file the original reporter attached to the issue (1275 bytes) as the fixture; `git add -f` was needed because `*.dta` is in `.gitignore` (same convention as the other 100+ stata fixtures).

closes #36096

## Test plan

- [x] `pytest pandas/tests/io/test_stata.py` — 692 passed
- [x] `pytest pandas/tests/io/test_stata.py::test_read_stata_far_future_dates -v` — passes"
65598,BUG: avoid materializing full arange in HDFStore chunked iteration (GH-15937),jbrockmendel,closed,2026-05-11T20:02:25Z,2026-05-12T16:31:30Z,"## Summary

- Fixes GH-15937: `HDFStore.select(..., chunksize=N)` raised `MemoryError` on large tables when no `where` filter was supplied because `TableIterator.get_result()` unconditionally materialized `np.arange(0, nrows)` (8 bytes per row) before yielding any chunk.
- The chunked-iteration path now skips coordinate materialization when `where is None` and reads each chunk by `(start, stop)` slices instead. Filtered iteration is unchanged.
- Disambiguated the previous ""`self.coordinates is None` means get_result not called"" sentinel with an explicit `_called_get_result` flag, since `None` now legitimately means ""no filter, no coords needed.""

closes #15937

## Test plan

- [x] Added `test_select_iterator_no_where_skips_coordinates` asserting `it.coordinates is None` after `get_result()` when no `where` is passed, and non-None when a `where` is passed.
- [x] Existing `pandas/tests/io/pytables/` suite passes (563 passed, 1 skipped)."
65596,TST: regression test for concat preserving NaN payload bits (GH-51675),jbrockmendel,closed,2026-05-11T20:01:28Z,2026-05-12T16:26:13Z,"## Summary

- GH-51675 reported that `pd.concat` was destroying user-supplied NaN bit patterns (e.g. `fffffffffffffffe`) when concatenating with an empty `DataFrame`.
- The bug is no longer reproducible on `main` — it appears to have been fixed incidentally by GH-52532 / GH-58056 (the deprecation of ignoring empty entries in `concat`), which retired the code path that built fresh NaN arrays instead of calling `np.concatenate`.
- Adds a small regression test guarding the behavior across `[df, empty]`, `[empty, df]`, and `[df, df.iloc[:0]]`.

closes #51675

## Test plan
- [x] `pytest pandas/tests/reshape/concat/test_empty.py` — 52 passed, 5 skipped

🤖 Generated with [Claude Code](https://claude.com/claude-code)"
65594,TYP: enable mypy checks on pandas.core.indexes.category,jbrockmendel,closed,2026-05-11T19:43:12Z,2026-05-12T17:47:27Z,"## Summary

- Removed `pandas.core.indexes.category` from the mypy override list in `pyproject.toml`.
- Added missing type annotations on `CategoricalIndex` methods, matching parent `Index` signatures where applicable (`__new__`, `_can_hold_strings`, `_formatter_func`, `_format_attrs`, `reindex`, `_maybe_cast_indexer`, `_maybe_cast_listlike_indexer`, `_intersection`, `_union`, `map`).
- In `_intersection`/`_union`, replaced the redundant `isinstance(other, CategoricalIndex)` runtime check with a `cast`. By the time these methods are reached from `Index.union`/`Index.intersection`, dtype reconciliation (base.py:3231-3246) has already ensured `self.dtype == other.dtype`, and `CategoricalDtype` equality semantics imply `other` is a `CategoricalIndex`.

## Test plan

- [x] `mypy pandas` passes
- [x] `pre-commit run` passes on changed files
- [x] `pytest pandas/tests/indexes/categorical/ pandas/tests/indexes/test_setops.py` passes

🤖 Generated with [Claude Code](https://claude.com/claude-code)"
65591,BUG: fix np_datetime.c include order to avoid numpy nightly segfault,jbrockmendel,closed,2026-05-11T17:28:21Z,2026-05-12T00:27:44Z,"## Summary

- On numpy nightly (>= 2.5), pandas's vendored `pandas/_libs/src/vendored/numpy/datetime/np_datetime.c` segfaults on every `datetime64`/`timedelta64` dtype access, crashing during `conftest.py` collection.
- Root cause is an include ordering bug: `NO_IMPORT_ARRAY` and `PY_ARRAY_UNIQUE_SYMBOL` were defined *after* pandas's own `np_datetime.h` had already transitively pulled in `numpy/ndarraytypes.h`. Defining them is reordered to before that include.

## Details

[numpy/numpy#31091](https://github.com/numpy/numpy/pull/31091) moved `#include \""__multiarray_api.h\""` from `ndarrayobject.h` into `ndarraytypes.h`. That header is where the `PY_ARRAY_UNIQUE_SYMBOL` rename machinery activates: it textually rewrites the `PyArray_RUNTIME_VERSION` references to a unique extern symbol that the corresponding `import_array()`-calling TU initializes at runtime.

With `PY_ARRAY_UNIQUE_SYMBOL` *not yet* defined when `ndarraytypes.h` is first included in this TU, the rename does not fire. `PyArray_RUNTIME_VERSION` falls through to the default branch and becomes a TU-local `static int = 0`, never modified within the TU. At `-O3` the compiler constant-folds it, and the runtime check inside numpy's `PyDataType_C_METADATA` accessor is eliminated — leaving an unconditional load of `c_metadata` at the numpy 1.x `PyArray_DescrProto` offset (80) rather than the actual numpy 2.x `_PyArray_LegacyDescr_fields` offset (112). For a real `M8[ns]` dtype that offset is `NULL`, so dereferencing it crashes.

Disassembly evidence (macOS arm64, identical pattern on Linux x86_64):

\`\`\`asm
; before fix (numpy 2.5.0.dev0 nightly): unconditional, wrong offset
ldr x8, [x0, #0x50]    ; offset 80 → NULL
ldr x0, [x8, #0x20]    ; SIGSEGV
ret

; after fix: runtime check restored
adrp x8, 0
ldr  w8, [x8]          ; load PANDAS_DATETIME_NUMPYPyArray_RUNTIME_VERSION
cmp  w8, #0x11
mov  w8, #0x50
mov  w9, #0x70
csel x8, x9, x8, gt    ; pick offset 80 vs 112 based on runtime version
ldr  x8, [x0, x8]
ldr  x0, [x8, #0x20]
ret
\`\`\`

The three other pandas TUs that use \`PY_ARRAY_UNIQUE_SYMBOL\` (\`pd_datetime.c\`, \`objToJSON.c\`, \`ujson.c\`) already follow the correct order; \`np_datetime.c\` was the only outlier.

## Test plan

- [x] \`pd.Timestamp(\""2020-01-01\"").as_unit(\""ns\"", round_ok=False)\` no longer segfaults against numpy 2.5.0.dev0
- [x] \`pd.date_range\` works across all units
- [x] \`DataFrame.to_json\` works (exercises the ujson path through the same vendored CAPI dispatcher)
- [x] Still works against numpy 2.4.4 stable
- [x] pre-commit passes
- [ ] CI: numpy-nightly job

🤖 Generated with [Claude Code](https://claude.com/claude-code)"
65590,RLS: 3.0.3,jorisvandenbossche,closed,2026-05-11T15:38:41Z,2026-05-11T16:12:03Z,Backport of https://github.com/pandas-dev/pandas/pull/65589
65589,RLS: update whatsnew for 3.0.3,jorisvandenbossche,closed,2026-05-11T14:01:16Z,2026-05-11T15:27:32Z,"In preparation of doing a 3.0.3 release today (to be merged as last PR before releasing, to tag the merge commit)

This also updates the date in the release notes. And added a note for https://github.com/pandas-dev/pandas/issues/64363"
